"Species"	"Origin.of.Animals_Colony_Duisburg.Essen"	"Origin.of.Animals_Colony_České.Budějovice"	"Origin.of.Animals_Colony_Cape.Town"	"Origin.of.Animals_Wild.caught"	"Experimental.Use_Volumetry"	"Experimental.Use_Isotropic.fractionator"	"Experimental.Use_Brain.body.relationship"
"Heterocephalus glaber"	"7"	"3"	"3"	NA	"5"	"3"	"13"
"Bathyergus suillus"	NA	NA	NA	"11"	"5"	"3"	"11"
"Georychus capensis"	NA	NA	NA	"8"	"4"	"3"	"8"
"Heliophobius argenteocinereus"	NA	"8"	NA	NA	"4"	"3"	"8"
"Fukomys mechowi"	"8"	"3"	NA	NA	"3"	"3"	"11"
"Fukomys anselli"	"9"	NA	NA	NA	"3"	"3"	"9"
"Fukomys damarensis"	NA	NA	NA	"11"	"4"	"3"	"11"
"Fukomys darlingi"	NA	"3"	NA	"4"	"4"	"3"	"7"
"Cryptomys hottentotus"	NA	NA	NA	"8"	"4"	"3"	"8"
"Cryptomys pretoriae"	NA	NA	NA	"10"	"5"	"3"	"10"
"Cryptomys natalensis"	NA	NA	NA	"13"	"5"	"3"	"13"
