"Species","Body_Mass_g","whole_brain_Mass_g","Cerebral_Cortex_Mass_g","Hippocampus_Mass_g","Cerebellum_Mass_g","RoB_Mass_g","diencephalon+striatum_Mass_g","mesencephalon_Mass_g","mesencephalon+diencephalon+striatum_Mass_g","pons+medulla_Mass_g","Olfactory_bulb_Mass_g","whole_brain_N_n","Cerebral_Cortex_N_n","Cerebral_Cortex_Grey_Matter_N_n","Hippocampus_N_n","Cerebellum_N_n","RoB_N_n","diencephalon+striatum_N_n","mesencephalon_N_n","mesencephalon+diencephalon+striatum_N_n","pons+medulla_N_n","Olfactory_bulb_N_n","Cerebral_Cortex_Nmg","Cerebral_Cortex_Grey_Matter_Nmg","Hippocampus_Nmg","Cerebellum_Nmg","RoB_Nmg","diencephalon+striatum_Nmg","mesencephalon_Nmg","mesencephalon+diencephalon+striatum_Nmg","pons+medulla_Nmg","Olfactory_bulb_Nmg","whole_brain_ON","Cerebral_Cortex_ON","Cerebral_Cortex_Grey_Matter_ON","Hippocampus_ON","Cerebellum_ON","RoB_ON","diencephalon+striatum_ON","mesencephalon_ON","mesencephalon+diencephalon+striatum_ON","pons+medulla_ON","Olfactory_bulb_ON"
"Marmosops incanus",100,0.91,0.408,0.06,0.158,0.344,0.104,0.092,0.196,0.148,0.084,112050000,20410000,NA,2580000,82400000,9240000,3370000,3070000,6440000,2800000,5520000,50033,NA,43036,521513,26857,32394,33356,32846,18926,65674,0.788,1.84,NA,1.43,0.292,2.878,2.695,2.316,2.514,3.713,0.958
"Metachirus nudicaudatus",407,2.008,0.992,0.144,0.342,0.674,0.234,0.158,0.392,0.282,0.206,165590000,20190000,NA,4190000,134130000,11270000,3890000,3620000,7510000,3760000,31380000,20354,NA,29109,392196,16725,16618,22926,19161,13338,152341,0.916,3.199,NA,1.899,0.24,4.878,5.707,3.182,4.489,5.653,0.647
"Didelphis aurita",1200,4.292,2.136,0.386,0.778,1.378,0.36,0.5,0.86,0.518,0.342,392500000,42500000,31490000,7230000,334260000,15730000,5270000,6240000,11510000,4220000,31340000,19897,21901,18731,429647,11417,14636,12482,13384,8152,91646,0.648,2.847,2.35,3.149,0.122,5.873,4.139,5.729,5.001,8.251,1.273
"Macropus parma",4268,15.714,9.914,1.238,1.69,4.11,NA,NA,2.948,1.162,NA,711130000,135620000,117630000,8480000,558080000,17420000,NA,NA,12650000,4770000,NA,13680,18707,6849,330225,4238,NA,NA,4290,4107,NA,1.733,5.411,3.494,13.006,0.447,19.221,NA,NA,20.645,15.447,NA
"Sarcophilus harrisii",8200,9.802,5.228,0.634,1.434,3.14,1.348,0.652,2,1.14,1.004,693690000,71660000,50950000,12640000,601070000,20970000,6180000,8220000,14410000,6560000,100320000,13706,14759,19940,419158,6677,4587,12613,7203,5754,99919,1.09,5.112,3.727,4.537,0.224,12.2,18.96,6.675,11.948,12.755,1.004
"Macropus rufogriseus",11110,26.994,16.102,1.796,3.572,7.32,NA,NA,5.93,1.39,NA,1.32e+09,256780000,207740000,10770000,1.02e+09,42480000,NA,NA,35060000,7420000,NA,15947,21631,5999,286273,5803,NA,NA,5912,5336,NA,1.629,4.545,2.589,14.221,0.289,12.462,NA,NA,11.579,16.637,NA
"Wallabia bicolor",12066,30.012,15.182,1.566,4.42,10.41,NA,NA,6.396,4.014,NA,1.44e+09,208110000,170420000,12970000,1.2e+09,31860000,NA,NA,21350000,10510000,NA,13708,17322,8283,270575,3061,NA,NA,3339,2619,NA,1.407,4.955,3.319,8.506,0.293,20.583,NA,NA,20.459,20.834,NA
"Macropus rufus",13154,NA,NA,NA,4.786,NA,NA,NA,NA,2.886,NA,NA,NA,NA,NA,1.53e+09,NA,NA,NA,NA,19340000,NA,NA,NA,NA,320282,NA,NA,NA,NA,6700,NA,NA,NA,NA,NA,0.278,NA,NA,NA,NA,10.765,NA
"Dendrolagus goodfellowi",13608,31.548,19.57,1.29,4.236,7.742,NA,NA,5.066,2.676,NA,1.55e+09,273430000,188300000,18150000,1.24e+09,37860000,NA,NA,29630000,8230000,NA,13972,16599,14073,292025,4890,NA,NA,5849,3075,NA,1.322,4.603,2.721,4.552,0.249,12.685,NA,NA,12.021,15.077,NA
"Macropus fuliginosus",25855,62.724,40.194,2.938,7.358,15.172,NA,NA,10.81,4.362,NA,2.46e+09,370170000,271030000,44770000,1.99e+09,97740000,NA,NA,76400000,21340000,NA,9210,11254,15238,270449,6442,NA,NA,7067,4893,NA,1.729,6.404,4.12,4.076,0.368,11.744,NA,NA,11.723,11.821,NA
